CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,x,y
10-1-079090,-85.1625,338.431,-85.1623,338.438,1.154,0.0556856,1.21765,1.05916,0.493345,1.14965,84.619,0.000843752,0.00999071,0.065994,0.0667811,16.6357,0.127512,0.0955855,0.791638,10,-53958.15504792907,136498.4679636647
10-1-079091,-85.444,338.905,-85.4441,338.921,2.17397,0.0372538,2.24871,2.00912,0.449154,1.11925,72.151,0.000157553,0.00386697,0.0119316,0.0217777,3.15577,0.0214486,0.0135076,0.717206,13,-49749.674089811524,128962.8011904611
10-1-079092,-85.6302,335.471,-85.6302,335.471,1.52143,0.0221994,1.53775,1.50101,0.217295,1.02448,12.8241,0.000286797,0.00362801,0.0196554,0.0210179,27.917,0.0831306,0.0194232,1.0,12,-55037.45058981912,120606.85587940426
10-1-079093,-85.5432,333.635,-85.5432,333.632,1.05881,0.0424926,1.17725,0.942908,0.598742,1.24853,67.6675,0.000351924,0.0040844,0.0262742,0.0219976,5.05866,0.0345919,0.0403098,1.0,10,-60046.59202029656,121148.83898404574
10-1-079094,-85.5938,340.518,-85.593,340.527,5.18534,0.144289,5.39457,5.00401,0.373572,1.07805,61.2633,0.0010003,0.0128623,0.0839136,0.063936,8.30875,0.0463651,0.0217011,0.880212,47,-44582.588111589444,126023.15357800422
10-1-079095,-85.7143,340.449,-85.7159,340.447,2.493,0.155845,2.84831,2.06442,0.688971,1.37971,4.22109,0.000351205,0.00523725,0.0286688,0.0270926,1.56988,0.0126104,0.022819,0.854335,24,-43509.77839032325,122521.12392986589
10-1-079096,-85.4543,337.873,-85.4558,337.886,4.55809,0.116688,4.8852,4.16684,0.52199,1.1724,54.5981,0.000308196,0.00889503,0.031826,0.0325722,2.50662,0.0141826,0.0119301,0.734536,26,-51946.50219542218,127756.0652088165
10-1-079097,-85.5961,338.255,-85.5958,338.255,1.26606,0.0438578,1.37939,1.14913,0.553166,1.20038,34.3457,0.000398584,0.00661797,0.0317342,0.0296945,7.74415,0.0434072,0.0415308,0.77873,9,-49498.15902298953,124099.57994854117
10-1-079098,-85.587,337.738,-85.587,337.785,1.41631,0.0506288,1.72253,1.35654,0.616283,1.2698,176.887,0.000510983,0.0276307,0.140109,0.0298404,6.7671,0.0847962,0.106995,0.697697,9,-50720.616572282335,123903.6469636684
10-1-079099,-85.6113,337.147,-85.6111,337.147,1.402,0.0275002,1.47764,1.32092,0.448188,1.11864,43.6739,0.000172428,0.00276328,0.0131501,0.0131222,4.84191,0.023781,0.0149199,0.804519,11,-51709.35442761219,122693.86717114014
10-1-079101,-85.6273,332.772,-85.6271,332.776,2.3926,0.0376975,2.48771,2.27763,0.402198,1.09224,107.641,0.000203483,0.00263415,0.0147352,0.0159678,3.27323,0.0191281,0.0100245,0.837909,21,-60695.948609027546,117959.71437958641
10-1-079102,-85.6959,331.613,-85.6959,331.614,1.09866,0.0240075,1.133,1.05828,0.357144,1.07061,34.6445,0.000197558,0.00247038,0.0137286,0.0142797,9.22564,0.0443021,0.0194159,1.0,12,-62079.11202397321,114875.20618503304
10-1-079103,-85.7083,335.275,-85.7108,335.267,3.34861,0.0760794,3.50752,3.03183,0.502836,1.1569,165.213,0.000509526,0.00527325,0.0300284,0.0409504,2.74345,0.0237615,0.0185005,0.784468,26,-54457.73501742516,118263.65463728206
10-1-079104,-85.6955,336.603,-85.6954,336.607,1.89818,0.021638,1.92898,1.84727,0.287967,1.04423,99.0571,0.000266481,0.00446885,0.0190888,0.0270594,11.1081,0.0562972,0.0184596,0.763849,14,-51856.588444438254,119850.72217768565
10-1-079105,-85.8048,337.137,-85.8049,337.136,1.61628,0.0161656,1.64296,1.59208,0.246942,1.03196,62.3109,0.000219293,0.00415968,0.0178565,0.0162153,20.4852,0.0566391,0.0153709,0.757467,13,-49447.84576015908,117270.65581821912
10-1-079106,-85.9038,337.204,-85.9038,337.203,2.2718,0.0401837,2.32741,2.21707,0.304261,1.04977,63.2087,0.000266097,0.00395317,0.0201619,0.0183234,9.11717,0.0357077,0.0125688,0.856129,20,-48146.02224073913,114557.24769778125
10-1-079107,-85.5198,329.219,-85.5211,329.182,6.74263,0.151479,7.23056,6.47375,0.445399,1.1169,35.8599,0.000439876,0.00790804,0.0505704,0.0286681,2.05506,0.0148987,0.00924579,0.823198,52,-69560.1623289815,116776.28583666736
10-1-079110,-85.625,326.909,-85.625,326.91,4.49783,0.104343,4.72867,4.27619,0.426873,1.10581,176.353,0.000350494,0.00508152,0.0287035,0.0261155,2.8266,0.0164958,0.00952181,1.0,45,-72466.18524454306,111201.08163582496
10-1-079111,-85.9696,327.147,-85.9696,327.145,1.01006,0.0143439,1.04865,0.977551,0.361941,1.07273,36.3642,0.000156568,0.00238537,0.0136917,0.0114509,7.38911,0.0421148,0.0188167,1.0,11,-66327.34639563208,102711.11368488027
10-1-079112,-85.8793,328.248,-85.8794,328.248,1.78904,0.0414609,1.85014,1.71839,0.370601,1.07667,86.2284,0.00030962,0.00432769,0.0232209,0.023774,7.9397,0.0434811,0.0201119,1.0,16,-65784.30163573958,106297.95444974436
10-1-079114,-85.981,333.326,-85.9808,333.326,2.09869,0.0451771,2.19827,1.99647,0.418539,1.10108,13.3756,0.000241057,0.00355785,0.0183631,0.0175123,4.26258,0.0238711,0.0133372,1.0,21,-54731.33365553978,108944.27570121494
10-1-079115,-85.9835,334.961,-85.9835,334.961,2.8037,0.0515828,2.87188,2.73331,0.306878,1.0507,13.6055,0.000372306,0.00550847,0.0289399,0.0272518,9.45085,0.0418431,0.0148944,0.926375,27,-51568.50030984651,110392.76172648418
10-1-079117,-86.1002,331.724,-86.1002,331.72,2.41834,0.0478379,2.50783,2.34213,0.357466,1.07075,178.467,0.000256351,0.00450081,0.0222776,0.0183462,5.97561,0.0288983,0.0126814,0.859556,21,-56041.32029405041,104184.55069617681
10-1-079118,-86.05,330.258,-86.05,330.256,1.57212,0.0498733,1.70666,1.43765,0.538892,1.18712,58.9299,0.000253532,0.00329945,0.0192116,0.016803,2.99765,0.0213675,0.0192636,1.0,17,-59444.46578014707,104039.96041982739
10-1-079119,-86.0898,328.905,-86.0898,328.904,1.50057,0.0244049,1.5449,1.45788,0.330888,1.05969,1.99902,0.00017382,0.00268002,0.0124542,0.0113803,7.95248,0.0302003,0.0118914,0.794077,15,-61260.46358900463,101572.67084375226
10-1-079120,-86.1129,329.625,-86.1129,329.631,1.77593,0.0335465,1.83431,1.6885,0.390718,1.08635,63.54,0.000205735,0.00481939,0.0159041,0.0218114,6.5165,0.0337394,0.0169011,0.769485,16,-59624.6526696161,101729.43344308401
10-1-079125,-85.5976,336.034,-85.5975,336.031,1.19214,0.0182154,1.24682,1.15205,0.382416,1.08226,165.795,0.000187681,0.00309735,0.0191106,0.0141218,7.04125,0.0438163,0.0212407,0.814988,12,-54251.83392380685,122046.47435234557
10-1-079126,-85.5603,337.049,-85.5602,337.046,2.17374,0.0660489,2.31838,2.03157,0.481791,1.14118,27.977,0.000267541,0.00402304,0.0217161,0.019425,3.72765,0.0213332,0.0152749,0.868656,22,-52523.07726386682,124031.42675611474
10-1-079128,-85.7037,337.271,-85.7041,337.273,1.23394,0.0162831,1.27621,1.16363,0.410665,1.09675,0.75012,0.000224114,0.00214997,0.0103877,0.0161309,5.69015,0.0325433,0.0176308,0.717936,10,-50359.57261092678,120217.48346835379
10-1-079130,-84.561,333.496,-84.562,333.505,1.06417,0.0304585,1.1967,1.01652,0.527697,1.17726,117.925,0.00101169,0.00882647,0.0883048,0.0290747,11.0882,0.10821,0.0931676,0.705526,9,-73656.45154433565,147706.16227673905
10-1-079131,-84.9693,334.781,-84.9722,334.783,4.46335,0.061084,4.55053,4.20791,0.380677,1.08142,177.647,0.00171162,0.0164297,0.0723476,0.103785,10.3487,0.0659142,0.0317337,0.629794,28,-65039.2002890229,138096.44998748982
10-1-079132,-85.023,336.436,-85.0272,336.481,4.64964,0.12388,5.3202,4.35546,0.574272,1.2215,126.292,0.00102056,0.0122623,0.0969215,0.0394092,2.6184,0.0237392,0.0248464,0.787177,37,-60371.46141443645,138421.8212848892
10-1-079133,-84.8461,336.946,-84.8466,336.946,1.56579,0.0503433,1.74099,1.37997,0.609699,1.26162,167.098,0.000291501,0.00296365,0.0185366,0.0186382,2.88891,0.017722,0.0216976,0.751495,14,-61241.69204972976,143899.16120146454
10-1-079137,-85.151,336.742,-85.1509,336.742,1.06765,0.0220265,1.08859,1.04635,0.275853,1.04037,158.647,0.000340604,0.00447373,0.0279719,0.0254326,29.263,0.118464,0.036798,1.0,10,-58095.86024590272,135169.73664539744
10-1-079138,-85.0366,341.514,-85.037,341.512,1.32775,0.0302376,1.4306,1.2543,0.480913,1.14055,75.5233,0.000312819,0.00263264,0.0266935,0.0182764,4.4806,0.0378424,0.0270017,0.806504,10,-47751.534746218276,142830.26690629902
10-1-079139,-85.1465,343.926,-85.1473,343.922,2.76944,0.0488229,2.91269,2.66727,0.401769,1.09201,86.5204,0.000346352,0.00316904,0.0267646,0.0184214,4.02271,0.0239927,0.0125527,0.820954,20,-40773.826768502906,141505.21043657823
10-1-079140,-84.8902,343.039,-84.8899,343.037,1.54738,0.0307128,1.64743,1.41982,0.507186,1.16031,57.4349,0.000317642,0.00329737,0.022293,0.0239722,4.43145,0.0316877,0.0251063,1.0,10,-45231.013430633946,148304.9525077405
